 ,Enfamiliehuse,Sommerhuse,Ejerlejligheder
1992,551,309,421
1993,565,325,419
1994,622,333,452
1995,656,339,474
1996,753,381,514
1997,806,399,536
1998,884,470,631
1999,955,512,716
2000,1047,574,810
2001,1105,616,908
2002,1144,679,984
2003,1199,774,1052
2004,1332,927,1203
2005,1511,1140,1453
2006,1748,1344,1764
2007,1819,1428,1675
2008,1826,1407,1710
2009,1763,1260,1542
2010,1847,1260,1701
2011,1770,1203,1679
2012,1799,1161,1700
2013,1883,1141,1845
2014,1955,1134,1945
2015,2082,1160,2063
2016,2122,1171,2156
2017,2209,1230,2369
2018,2257,1276,2470
2019,2335,1313,2570
2020,2477,1406,2800
2021,2639,1603,3005
2022,2464,1648,2847
