,Enfamiliehuse,Sommerhuse,Ejerlejligheder
1992,777,327,446
1993,789,326,443
1994,876,342,482
1995,935,346,502
1996,1088,400,538
1997,1195,415,557
1998,1338,524,674
1999,1485,581,789
2000,1631,690,906
2001,1759,733,1051
2002,1863,805,1168
2003,1959,963,1250
2004,2209,1150,1416
2005,2712,1428,1772
2006,3382,1760,2256
2007,3279,1820,2035
2008,3139,1665,2051
2009,2747,1506,1781
2010,2950,1469,2022
2011,2856,1418,1999
2012,2852,1360,1976
2013,2965,1313,2166
2014,3075,1356,2236
2015,3310,1402,2351
2016,3465,1419,2511
2017,3623,1576,2813
2018,3754,1623,2958
2019,3873,1676,3066
2020,4231,1931,3351
2021,4723,2150,3664
2022,4471,2129,3520
