year,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74
1992,30635,113835,164553,189833,202327,210117,211324,197648,178997,152395,123190,109580
1993,29867,111995,164162,191281,204878,212467,215298,203142,183188,155233,126013,113040
1994,32126,118066,171769,199244,215716,223260,226166,214528,193240,161869,135478,125769
1995,33148,122153,176519,206959,222529,231088,234474,225560,202482,168753,139602,128033
1996,33577,123691,179726,213414,229220,238028,241653,234960,210534,174417,143375,132084
1997,34374,125740,183663,221490,237358,246802,250062,244802,223139,182719,147057,136481
1998,35472,129480,189634,230268,247476,256897,258679,255390,234523,190182,151556,140867
1999,35532,131295,194904,238692,257135,265863,266268,264881,243548,195661,155861,144036
2000,36037,133842,200931,249204,270780,278252,278766,274451,256806,208759,162092,150997
2001,36310,136721,206482,257720,282321,290378,288917,285496,268886,218117,170621,157428
2002,37908,137897,208024,261555,288110,298891,295912,290877,275839,226131,175963,159406
2003,37655,137666,208801,265556,293588,305414,302855,295209,284551,235091,181949,163095
2004,36929,138847,211652,272178,302903,314858,314534,305506,296014,247200,190887,169167
2005,37915,143114,217588,280392,313009,327988,327396,318979,310287,263270,200175,177444
2006,40677,150815,225743,290820,326818,344469,344817,335198,326697,280917,212365,187427
2007,43421,159863,237041,303566,340698,360987,360279,350954,342513,294966,226500,197505
2008,43734,163570,244748,310530,348270,367508,364509,356059,340357,296278,225788,199222
2009,39299,155646,242670,310336,348097,365525,363876,355465,338968,292483,223383,197300
2010,37876,148888,237538,314995,361038,382846,384829,374203,357055,308516,238812,210604
2011,37559,145407,236815,316832,363602,389629,394170,381985,364475,315610,247192,213405
2012,37147,144200,237090,321051,369694,397843,404897,393506,373853,328481,257882,223398
2013,37817,143285,236101,321633,374291,404813,414167,401108,385515,336184,268346,235017
2014,37837,143794,236785,323387,379347,414390,424587,410625,393839,344137,271174,243220
2015,38261,146048,241570,326777,387602,428279,437276,427777,407257,359713,284799,256832
2016,37447,147406,242576,329326,387928,430272,446896,436784,414442,367417,293742,261633
2017,38776,150635,248963,335208,393441,437689,460746,452882,426324,383143,299575,271066
2018,39668,155989,257385,342942,399688,445774,468820,462942,434751,392520,300993,274204
2019,40692,159052,264521,351995,407719,455604,483497,481773,454335,410199,319000,289440
2020,42718,164928,277433,371206,427100,477161,509822,503186,477042,427829,332756,300925
2021,48972,180700,293241,388517,445582,493832,533498,534107,509312,453193,354615,308150
