year,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74
1992,29537,97932,151801,181038,195245,204285,207125,196229,183004,147346,96659,39539
1993,28539,94340,149279,180000,195218,204385,208254,198466,184820,142937,92841,47496
1994,30011,101181,155171,186630,202595,212459,217388,209787,194261,145095,85189,38014
1995,31087,106018,160265,192710,208508,219311,224394,220675,204287,153366,92188,46816
1996,31131,108912,162897,198659,214810,226160,231016,229152,211224,157329,92493,47385
1997,31824,112617,168020,207003,222926,234200,238525,236448,219522,160860,85381,39457
1998,32512,115365,173135,215115,231400,242522,245995,243724,226763,160421,80372,41208
1999,32544,117737,179982,224941,242428,252703,255718,253243,238029,166007,82405,42148
2000,32850,119686,185419,234484,253570,262788,265948,262070,249459,180226,88886,42311
2001,33120,121190,190810,243211,265020,273974,276632,272144,260903,197600,94444,42914
2002,33235,120845,191351,247319,272432,282634,285130,280229,268806,209185,96349,43086
2003,33244,118781,188216,247810,276359,287392,291471,286105,274279,220489,102619,57121
2004,33887,120777,191119,253928,284470,297213,301285,295431,282164,233397,111290,60674
2005,35448,124909,195906,260578,292872,307582,310570,304832,290131,245189,118028,59016
2006,38024,132548,205153,269492,304101,321167,323196,317244,302348,257241,131864,64193
2007,40775,140659,216017,278894,313829,333468,335021,328162,312046,261518,144544,68421
2008,41492,145672,228646,296656,333774,355149,355824,347830,330111,281583,167039,75971
2009,37927,136612,224807,296932,334730,355703,358531,351910,335215,285917,175756,79334
2010,35637,130485,223149,303895,347184,372080,378200,370012,353760,304683,192621,86164
2011,35829,126494,222658,305849,350215,377036,385635,376289,360372,311730,197284,91673
2012,34989,123783,222059,309659,355533,383647,395476,385153,369513,323233,208816,103776
2013,35132,121858,219628,309512,357637,387561,401802,390766,375121,325187,211885,114761
2014,35356,122712,221470,312499,363247,396459,411139,401286,385500,339187,220381,123594
2015,35101,125103,225750,317408,369738,404861,421528,415776,395297,352720,231627,130668
2016,35608,128785,229598,321045,372814,409860,430187,425671,402676,357725,239000,136117
2017,36520,132130,236892,326954,378688,415796,438367,437120,411465,367068,248927,140435
2018,37992,137760,246471,336215,387513,426417,450111,449327,423608,381544,252985,143754
2019,38756,139520,250816,342454,391484,430074,456100,456085,431300,386032,253307,142199
2020,40286,144705,262452,360993,411386,453286,480369,480846,457764,405608,288289,152950
2021,44452,156731,273750,370790,421301,461532,490193,494262,470354,408151,268589,142968
