year,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74
1992,30825,110635,167049,202707,219518,228789,233700,221487,204696,176602,144497,127950
1993,30488,108212,165608,203086,222514,231155,236237,224841,207725,178734,147095,132564
1994,32488,113783,171659,206955,232676,240439,246345,235661,216753,183938,158283,146619
1995,33123,118032,175465,216862,239969,247913,253892,245913,225130,191283,161661,148715
1996,34110,120099,178455,223370,246281,256546,259636,257427,233750,197389,165084,153321
1997,34971,122121,181516,233030,255334,266364,268516,266541,246572,209402,169719,159307
1998,36209,125949,187771,241940,267546,279291,279863,277709,258395,215236,175081,164900
1999,36660,128675,193191,252412,280230,292995,289365,287893,270971,222167,180220,169170
2000,37385,131886,200769,265174,297331,309571,306060,301023,285233,238072,188716,181423
2001,37676,134913,206492,273589,308744,323487,318958,312737,297268,247956,197864,184466
2002,38942,135112,205756,276475,315961,336444,327592,317160,303729,255418,201653,184801
2003,37751,133755,204656,278671,319685,342429,335244,322999,309983,262461,207877,188487
2004,36590,134751,206555,284268,328791,349938,348310,332614,321916,275840,219721,195773
2005,37437,139131,211822,292803,340404,365095,366582,349787,337135,295514,229691,204673
2006,40392,145692,220000,303649,354414,381464,387062,368715,350929,314365,245968,216791
2007,42664,152683,232877,317346,368792,400967,403506,386615,368443,330417,260762,229478
2008,42569,156450,240748,325831,380903,411851,409550,395454,368322,323137,256462,230243
2009,37878,150910,239893,325219,379331,407697,408096,397514,370208,322110,256432,226942
2010,35972,142970,230604,326666,392379,430056,437450,426139,393201,342704,274186,244276
2011,35527,140214,229622,327278,394299,433979,445758,433452,401556,350449,284241,245612
2012,35274,139907,230573,331284,397653,442258,457762,448793,414251,367352,297449,258526
2013,36084,139709,230526,331741,400907,449506,468872,454448,433715,372064,313842,271646
2014,35609,140454,232932,333939,406837,462387,485338,467723,450160,384104,320288,284404
2015,36205,142776,242069,338599,415705,478308,504120,495144,471893,403075,334591,310376
2016,35722,144797,241833,344018,415550,482141,510402,503076,478752,413436,338717,304755
2017,36667,147231,250348,350481,419789,482679,522833,518122,485299,432803,345089,318755
2018,37023,151899,259127,360227,427613,491058,533512,532441,496344,440139,344577,322581
2019,37874,155216,268252,372667,438513,500657,549504,560109,521915,465065,365281,339448
2020,38898,159304,281087,394170,460539,524352,578214,575221,546428,482637,378083,348283
2021,45243,174752,297964,415437,485441,544702,611592,623022,589878,519735,406706,363020
