year,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74
1992,29739,95846,158093,198294,216329,227541,231267,221786,209213,180213,130758,58341
1993,28975,92111,155149,197095,217721,227843,233242,224056,210964,174581,127091,67524
1994,29994,96635,158145,202067,225404,235372,242244,235578,221087,180315,112983,45802
1995,31020,101234,161471,207437,231172,242721,249184,247128,231871,190797,130846,65168
1996,31313,104161,163998,213683,238430,251309,256595,257074,239286,196233,131856,65900
1997,32019,107527,167492,221589,246514,260417,264239,263769,248095,200859,121484,54341
1998,32844,110634,172962,231261,256798,271682,273394,272153,256935,203323,118062,57478
1999,33423,113794,180155,243072,270015,284484,284601,283525,269798,210665,121224,59382
2000,33805,116082,186265,254619,283735,297403,297721,294033,281104,221824,128597,58890
2001,34223,117775,192250,264122,297435,311141,311551,305310,293825,237867,135199,58746
2002,33987,116476,190878,267102,305076,320991,321856,312889,301136,248905,138752,59788
2003,33295,113211,186100,265944,308028,324939,328862,319423,306682,258993,146352,79190
2004,33796,114456,187630,271734,316665,335727,341966,328725,314504,271610,156659,85606
2005,35260,118630,191138,278839,325881,348272,352858,341115,323050,283573,160429,79329
2006,37624,124584,200716,287394,337185,363822,367028,354889,334724,294183,175742,86468
2007,40329,131211,212789,297522,346933,378012,380442,368016,345236,301394,190517,96563
2008,40515,135776,224785,315012,369082,402037,404424,391074,363255,322290,215380,105773
2009,36912,129663,223000,316610,370064,402454,407858,398697,371238,326521,223687,111865
2010,34075,123154,220877,324074,386848,425330,435553,427106,398401,350840,249891,125043
2011,34218,118734,219171,325207,387563,429441,444668,433280,408803,359323,255453,131368
2012,33806,116406,218674,329567,391845,435518,455180,443948,420563,374149,267917,148168
2013,34007,114787,216581,329580,394151,440996,464417,452363,431768,378736,272560,160052
2014,33771,115342,218660,331714,398427,448818,474655,464679,448152,394313,284570,175045
2015,33363,118024,223920,337941,405245,457668,487151,485286,458649,408794,297174,177795
2016,33622,122115,229593,343390,408780,461957,496594,496326,467570,416511,306542,184588
2017,34402,124958,239035,350663,415197,467295,504435,508519,476825,426501,322104,185337
2018,35207,129521,249817,361706,425884,478938,517484,521183,489574,440839,323726,192226
2019,35732,131024,255449,370997,431872,483613,525040,532430,500318,446938,323547,190028
2020,36896,134953,267752,392362,455527,510123,552108,557776,530823,468494,358882,204369
2021,40374,146880,279278,403942,468418,519561,563964,576239,546599,472800,334965,188047
